R001	11330.00
R002	1680.00
R003	0.00
R004	0.00
R005	1.00
R006	5.00
R007	0.00
R008	0.00
R009	1.00
R010	13842.00
R011	24004.00
R012	25398.00
R013	6570.00
R014	1605.00
R015	3909.00
R016	1811.00
R017	6738.00
R018	28919.00
R019	7295.00
R020	12161.00
R021	10037.00
R022	31308.00
R023	17772.00
R024	8589.00
R025	11973.00
R027	4726.00
R028	7305.00
R029	15477.00
R030	5730.00
R031	11385.00
R032	7031.00
R033	34234.00
R034	4323.00
R035	9595.00
R036	2662.00
R037	3227.00
R038	780.00
R039	2998.00
R040	4071.00
R041	6293.00
R042	3070.00
R043	6910.00
R044	13311.00
R045	4198.00
R046	22911.00
R047	7333.00
R048	1774.00
R049	7638.00
R050	10383.00
R051	14956.00
R052	4092.00
R053	7857.00
R054	2986.00
R055	28427.00
R056	3934.00
R057	16198.00
R058	2312.00
R059	4159.00
R060	9322.00
R061	2024.00
R062	10801.00
R063	3177.00
R064	2241.00
R065	2468.00
R066	951.00
R067	2541.00
R068	1441.00
R069	2707.00
R070	3826.00
R079	8756.00
R080	11591.00
R081	9665.00
R082	3681.00
R083	8312.00
R084	31447.00
R085	8488.00
R086	5726.00
R087	2582.00
R088	2593.00
R089	561.00
R090	1647.00
R091	4006.00
R092	5088.00
R093	8018.00
R094	6621.00
R095	7372.00
R096	9239.00
R097	12781.00
R098	6839.00
R099	5987.00
R100	1536.00
R101	10983.00
R102	13999.00
R103	4896.00
R104	4931.00
R105	13481.00
R106	3171.00
R107	2240.00
R108	10939.00
R109	4012.00
R110	7247.00
R111	6478.00
R112	5931.00
R113	4857.00
R114	2863.00
R115	3868.00
R116	9624.00
R117	3461.00
R118	7159.00
R119	6351.00
R120	4951.00
R121	3989.00
R122	10381.00
R123	5988.00
R124	2539.00
R125	0.00
R126	5854.00
R127	9037.00
R128	2380.00
R129	6003.00
R130	1869.00
R131	9389.00
R132	12124.00
R133	4298.00
R134	984.00
R135	3189.00
R136	5049.00
R137	9298.00
R138	20290.00
R139	6705.00
R140	2283.00
R141	11623.00
R142	11336.00
R143	7359.00
R144	9540.00
R145	21.00
R146	4275.00
R147	9112.00
R148	3425.00
R149	4654.00
R150	3749.00
R151	7113.00
R152	4873.00
R153	6525.00
R154	4117.00
R155	3314.00
R156	2518.00
R157	4249.00
R158	10288.00
R159	6582.00
R160	9097.00
R161	4427.00
R163	9352.00
R164	9710.00
R165	381.00
R166	9927.00
R167	10009.00
R168	19891.00
R169	7321.00
R170	53922.00
R171	4456.00
R172	5575.00
R173	4464.00
R174	5467.00
R175	20592.00
R176	10172.00
R177	10706.00
R178	14611.00
R179	25235.00
R180	7165.00
R181	5615.00
R182	11876.00
R183	2358.00
R184	3386.00
R185	2831.00
R186	4113.00
R187	7169.00
R188	8161.00
R189	7112.00
R190	8148.00
R191	7092.00
R192	7641.00
R193	5944.00
R194	6792.00
R195	24928.00
R196	8547.00
R197	7151.00
R198	7739.00
R199	2637.00
R200	4092.00
R201	10797.00
R202	6078.00
R203	4089.00
R204	6126.00
R205	4429.00
R206	7731.00
R207	7236.00
R208	10676.00
R209	2461.00
R210	1759.00
R211	7372.00
R212	5477.00
R213	3822.00
R214	2090.00
R215	5136.00
R216	2734.00
R217	3222.00
R218	4021.00
R219	3164.00
R220	5027.00
R221	4579.00
R222	7385.00
R223	8009.00
R224	3390.00
R225	1929.00
R226	1339.00
R227	1638.00
R228	3371.00
R229	1542.00
R230	1579.00
R231	3338.00
R232	3892.00
R233	3790.00
R234	1326.00
R235	19569.00
R236	5935.00
R237	2571.00
R238	5884.00
R239	4026.00
R240	14936.00
R241	1341.00
R242	2340.00
R243	4480.00
R244	5030.00
R246	2130.00
R247	835.00
R248	12131.00
R249	5018.00
R250	2617.00
R251	3835.00
R252	3514.00
R253	2234.00
R254	9085.00
R255	2410.00
R256	2402.00
R257	6374.00
R258	5893.00
R259	4081.00
R260	5401.00
R261	5367.00
R262	1569.00
R263	481.00
R264	1697.00
R265	3732.00
R266	3281.00
R267	3632.00
R268	9077.00
R269	3014.00
R270	2206.00
R271	1214.00
R272	4972.00
R273	5727.00
R274	3802.00
R275	3204.00
R276	4886.00
R277	1338.00
R278	1356.00
R279	3262.00
R280	2489.00
R281	5790.00
R282	3101.00
R283	2539.00
R284	2810.00
R285	0.00
R286	2195.00
R287	1954.00
R288	7189.00
R289	1256.00
R290	3281.00
R291	1705.00
R292	953.00
R293	24722.00
R294	4042.00
R295	1822.00
R296	2168.00
R297	2828.00
R298	2994.00
R299	1744.00
R300	10274.00
R301	3108.00
R302	5943.00
R303	3782.00
R304	2888.00
R306	1595.00
R307	964.00
R308	2618.00
R309	2529.00
R310	6941.00
R311	2023.00
R312	1492.00
R313	660.00
R314	2633.00
R315	2073.00
R316	957.00
R317	2596.00
R318	1969.00
R319	5471.00
R320	2397.00
R321	3045.00
R322	7088.00
R323	4575.00
